_id,concept,season,review_text,지역,review_text_clean
65ee6316a64dee66ed301e2a,0,0,[블로그 울산 남구 아이스팩 전용 수거함 어디에 있을까?,울산,아이스팩 전용 수거
65ee670ba64dee66ed303175,5,3,[가을여행] 전주 당일치기 여행 BEST10 (feat. 덕진공원팸투어) /가을 단풍 여행지추천,전북,가을 전주 당일치기 진공 투어 가을 단풍
65ee6a64c528b55b0ae79e58,4,0,"대전 유성구 관평동 맛집, 감동적인 맛과 가격 '매봉 쌀국수와 소바'",대전,맛집 감동 쌀국수
65ee60fc901db79521bc991b,3,0,역사를 따라가는 DMZ 로드,경기,역사 로드
65ee664fc528b55b0ae78d7a,5,0,"아브라다카브라라는 주문을 외워보고 싶은, '대전 보라매공원크리스마스 풍경'",대전,주문 보라매 공원 풍경
65ee6673a64dee66ed302f8a,3,0,"광양 역사문화의 중심, 광양 역사문화관과 광양향교",전남,역사 문화 중심 역사 문화관 향교
65ee6a6dc528b55b0ae79e7f,0,0,대덕구 교육의 장으로 스토리가 있는 정려의길,대전,교육 스토리 정려
65ee9bebc27eda916fc74fd5,0,3,추석 연휴 코로나19 예방을 위한 생활방역 수칙,제주,추석 연휴 예방 생활 방역 수칙
65ee6100901db79521bc9941,1,0,[ROAD TRIP] 원주:미니멀리즘을 탐험하다,경기,미니멀리즘 탐험
65ee6891c528b55b0ae796db,5,0,삶의 쉼표같은 도심 속 초록 싱그러움 휴식공원 대덕구 안산공원,대전,쉼표 도심 초록 휴식 공원 공원
65ee6901c528b55b0ae798a8,2,0,"대전 서구 언택트 산행, 즐거운 도솔산에서 코로나 블루 극복해요.",대전,산행 극복
65ee60a7901db79521bc95bb,0,0,"경기도가 만드는 무장애 관광지, 문턱 없는 그날이 온다!",경기,관광지 문턱 그날
65ee95b3c27eda916fc73f63,5,3,알록달록 가을의 이야기가 담긴 <제주 단풍 명소>,제주,가을 이야기 단풍
65ee97fac27eda916fc7455e,0,0,제주에서 북캉스를_제주 북캉스 숙소 추천,제주,숙소
65ee5ff6c528b55b0ae77b98,0,0,대구 달성군의 자랑. 문익점부터 송해까지!,대구,자랑
65ee9b05c27eda916fc74d85,0,0,서귀포로 스며드는 명품 클래식,제주,명품 클래식
65ee6310a64dee66ed301e0e,5,0,[블로그 아름다운 연꽃을 구경하며 걸어보는 선암호수공원,울산,연꽃 구경 호수 공원
65ee60c6901db79521bc96f0,5,0,"하루 18명에게만 허락된 '치유의 숲' 알음알음 입소문 퍼진 서울대 관악수목원, 직접 가봤더니",경기,하루 허락 치유 알음 알음 소문 관악 수목원 직접
65ee5f19901db79521bc8f6a,0,0,"비대면 여행지 3탄, 바다가 보이는 도로를 즐겨봐! ""삼척 이사부길""",강원,비대 도로
65ee66bd901db79521bcb24e,1,0,"광주 여행, 예술에 깊숙이 스며드는 광주비엔날레 시티투어 :: 광주 시티투어 버스, 광주비엔날레 전시관, 국립아시아문화전당, 양림동 역사문화마을, 광주 가볼만한곳, 5월 가볼만한곳",광주,예술 비엔날레 버스 비엔날레 전시관 문화 전당 역사 문화
65ee5e7b901db79521bc8a26,4,0,먹거리와 인심이 가득한 횡성 전통시장 오일장,강원,먹거리 인심 전통 시장 오일장
65ee601fc528b55b0ae77c96,1,0,수성문화재단 '어린이를 위한 대구역사콘서트' Listen! 들어보자! Daegu의 이야기,대구,문화재단 어린이 역사 콘서트 이야기
